episode;reward;average
0;-137.52410325959008;-137.52410325959008
1;-395.9054806781787;-266.7147919688844
2;-308.4515034222901;-280.62702912001964
3;11.931405992050713;-207.48742034200205
4;-2.9559234925047093;-166.58112097210258
5;-99.41682478290913;-155.387071607237
6;-211.18380853121948;-163.3580340249488
7;-199.05601305644643;-167.82028140388599
8;-280.15697307702476;-180.30213603423474
9;-143.74707305244777;-176.64662973605604
10;-179.81779127192658;-176.93491714840792
11;-174.84116121020446;-176.76043748689096
12;-213.77850130372855;-179.60798085741695
13;-206.44970797609966;-181.52524708017998
14;-124.71443468469731;-177.7378595871478
15;-67.07995821049444;-170.82174075110697
16;-89.73338645260408;-166.0518375570774
17;6.121506176268014;-156.48665179411375
18;-46.242805574176856;-150.6843440983276
19;-94.52971770096018;-147.87661277845922
20;-56.82754341040994;-143.5409428085521
21;-96.9791654399124;-141.42449838270485
22;-208.49987396178832;-144.3408190600563
23;-71.11036328687462;-141.28955006950707
24;-112.33083968137383;-140.13120165398175
25;-93.97804937715999;-138.35608041256552
26;-141.44741649400572;-138.47057434150773
27;-78.34167549871651;-136.32311366855092
28;-117.81342549512944;-135.6848485591226
29;-108.86784185456318;-134.7909483356373
30;-89.30865217995748;-133.32377749190567
31;-103.60896541759801;-132.39518961458356
32;-82.18588747900804;-130.8736956104752
33;-244.75865757009856;-134.22325331517
34;-125.89692156117385;-133.9853581221987
35;-94.52064982584587;-132.8891162250778
36;-756.1649873645258;-149.73441003965746
37;-265.8150566923189;-152.78916389893803
38;-231.46988133825562;-154.80661819225386
39;-236.03989100958765;-156.8374500126872
40;-243.71047855943505;-158.95630436748593
41;-88.14812335838005;-157.27039529584056
42;-78.0048754890265;-155.42701111428676
43;-194.05796545444286;-156.3049873492903
44;-188.74780707419515;-157.02593889873262
45;-52.8023853465538;-154.76020947368525
46;-88.71709877631342;-153.35503690565608
47;-111.17612579167064;-152.47630959078137
48;-107.31886334812366;-151.55472905521694
49;-169.93228587663756;-151.92228019164534
50;-86.04661477084353;-150.63060047751196
51;-57.27338140313125;-148.8352693414662
52;-67.89445701215261;-147.30808420317726
53;-61.19167567836365;-145.7133358971622
54;-25.115103239807393;-143.52064075793757
55;-89.02475316508705;-142.54749990806522
56;-125.58764253459407;-142.2499585506359
57;-64.86195787732468;-140.91568267695814
58;-56.75939759452421;-139.48930496369653
59;-33.16896129996224;-137.7172992359676
60;-93.36406529996148;-136.99019704029539
61;-68.98607115760873;-135.89335630025207
62;-3.9341805192305825;-133.79876620848984
63;-10.382501470434988;-131.8703870719577
64;-66.26210866914839;-130.86102894268373
65;-50.2496734242513;-129.63964476816201
66;-46.03006417621692;-128.39174058022252
67;-102.15918268427004;-128.00596766998794
68;-50.75283930017682;-126.88635711390373
69;-67.81594988763533;-126.04249415352848
70;-80.82526475444972;-125.40563176762596
71;-35.391093073335114;-124.15542984131636
72;-39.252354878051726;-122.99237401990179
73;-46.30679996931291;-121.9560824786776
74;-48.76837063195987;-120.98024632072136
75;-249.95588639867503;-122.67729421648392
76;-6.387283284571054;-121.16703433425128
77;-13.172871653401435;-119.78249378706091
78;-9.8673532874637;-118.39116289466095
79;-13.72629032392429;-117.08285198752671
80;-32.15000936036472;-116.0342983748457
81;-2.594271600844505;-114.65088341418715
82;2.494247434928766;-113.23949629552311
83;-55.78863207263341;-112.55555743572681
84;-58.1558332699057;-111.9155606808348
85;-49.049116352018885;-111.18455551422066
86;-39.564580745319546;-110.3613374134287
87;-67.66519131580917;-109.87615393504662
88;-32.3031938807307;-109.00454764230149
89;-32.11855308516001;-108.15025881388881
90;-49.71391132287586;-107.5081011491524
91;-19.030507297214168;-106.54638817250088
92;-16.250192059615134;-105.57546133257738
93;-61.74028268726946;-105.10912964486134
94;-33.075855401687846;-104.35088465282794
95;-190.49228193663004;-105.24819087453425
96;-109.1666715083409;-105.28858758209925
97;-90.72645582960534;-105.13999440095135
