episode;reward;average
0;-263.75170537211903;-263.75170537211903
1;-462.08650193573465;-362.91910365392687
2;-107.21214348789034;-277.68345026524804
3;-399.8700076610497;-308.23008961419845
4;-393.0085532256806;-325.18578233649487
5;-220.47305625540415;-307.73366132297974
6;-262.9340083490064;-301.3337108981264
7;-46.14118368929725;-269.43464499702276
8;-173.40883322346082;-258.7651103555159
9;-128.89623234514912;-245.7782225544792
10;97.87162996327912;-214.53732687104664
11;-229.65654287054167;-215.79726153767123
12;-97.90858162238732;-206.72890154418786
13;-377.3979535487948;-218.91954811594547
14;-164.3246083792968;-215.27988546683557
15;-185.68463736244303;-213.43018246031104
16;-94.54396402961449;-206.43687549379948
17;-195.70864540951644;-205.84086271133933
18;-77.49218806774219;-199.08566930904473
19;-97.40456299701381;-194.0016139934432
20;-270.90785400973687;-197.66381589898097
21;-123.3942546832393;-194.2879267528109
22;-142.62534475606856;-192.04172753556122
23;-83.46681974309517;-187.51777304420844
24;-59.32436398368811;-182.39003668178765
25;-98.26555812931863;-179.15447981438498
26;-180.6701653719945;-179.21061631651867
27;-97.21566127632138;-176.28222506508305
28;-22.83874289464954;-170.9910705074819
29;-115.84533607681828;-169.1528793597931
30;-98.89106235058901;-166.88636913368975
31;-62.177912591808926;-163.61422986675598
32;-142.80608602192783;-162.98368005327632
33;-74.13781488861625;-160.37056637196278
34;-25.412314773102082;-156.51461632628107
35;-67.79955439323643;-154.05030905036315
36;-62.943711596578495;-151.58796857863925
37;-59.34205403531152;-149.16044451170958
38;-46.32461507216489;-146.52362837223407
39;-657.0724939341077;-159.28735001128092
40;-52.38940027229029;-156.68008294447628
41;-224.83327512531167;-158.30277799640095
42;-52.642064636558004;-155.84555210431157
43;-167.67613444656033;-156.1144289757263
44;-224.59355503284303;-157.63618733255112
45;-294.08227313070694;-160.60240658903277
46;-347.8480677707791;-164.58635682694228
47;-237.1564401971152;-166.09823356382086
48;-256.834193656229;-167.949987851421
49;-87.99217655918734;-166.35083162557635
50;-212.58323259611853;-167.2573492916654
51;-167.70210795858236;-167.2659023429523
52;-132.8885052923507;-166.61727220992208
53;-36.8001806987105;-164.2132519967515
54;-33.16444532232331;-161.83054642085278
55;-33.20960715633003;-159.5337439339863
56;-71.44662992720863;-157.98835596895512
57;-147.73799262364767;-157.81162556644983
58;-200.93086971430097;-158.54246021302356
59;-249.22052753412922;-160.053761335042
60;-26.9486426764711;-157.87171020949165
61;-62.61667779209951;-156.33533871888852
62;-46.54444561899077;-154.59262613000126
63;-38.632016947524406;-152.7807416115251
64;-58.825559402140414;-151.33527726984227
65;-89.07662018906277;-150.39196428376982
66;-50.70276196884362;-148.904065741756
67;-66.509244327043;-147.69237719153963
68;-147.50778889234383;-147.68970199879766
69;-63.84348507328171;-146.4918988998617
70;-69.36920784477829;-145.40566381457884
71;-108.44309705056985;-144.8922948317454
72;-108.29847022750614;-144.3910095631942
73;-73.79423625919742;-143.43699911314016
74;-55.98457451468036;-142.27096678516068
75;-48.14020124195511;-141.03240408064482
76;-22.044223214865717;-139.4871030304399
77;-49.04260157837511;-138.3275581400288
78;-76.7739738056408;-137.54839884465682
79;-127.72326870200911;-137.42558471787373
80;-99.40959412335343;-136.95625150065746
81;-54.785483601311604;-135.95416896529957
82;-31.201764785541346;-134.6920918065073
83;-57.02051002425672;-133.76743011862337
84;-67.69159165249447;-132.9900673131395
85;-79.22190274986279;-132.36485609728743
86;-25.67070825650005;-131.1384865818761
87;-5.381101898807394;-129.70942539229574
88;-31.226229591259017;-128.60287263048633
89;-51.140610974948714;-127.74218083431371
90;-60.368571599484895;-127.00181150206285
91;-81.2200014267031;-126.50418313167852
92;-58.73599149537382;-125.77549289903008
93;-53.43245103426301;-125.0058860706815
94;-244.3476789975446;-126.26211546991163
95;-3.440561965189022;-124.98272428757076
96;-35.9847427404847;-124.06521932316781
97;-7.9184664521668235;-122.88004837550453
98;-77.42284496589991;-122.42088470470046
99;-358.3589546729426;-124.78026540438286
100;-8.135966209385973;-123.62537135294724
101;195.83940650250264;-119.07496430468368
102;173.5941705124226;-112.78109626064251
103;29.226379720382713;-111.43021979323385
104;3.097703297427347;-107.4404404768133
105;-66.79427051660957;-104.21059609355518
106;-32.81352768692143;-102.35258095921375
107;-30.365094544784753;-100.04991844630067
108;-50.845480054361936;-100.096495638034
109;-61.84518126948713;-98.99190502462832
110;153.70447985740597;-96.19387817113768
111;-16.26685933102583;-97.32396222355653
112;-11.326674920914874;-95.16228036266914
113;7.134898981163791;-94.12224590124784
114;-37.08522360734303;-90.7528129315305
115;-57.86729025367256;-89.69878007880153
116;20.427934578951024;-87.65806154472833
117;219.2628904403005;-84.55106298562026
118;239.18774786897833;-80.24515810167476
119;120.84520877397519;-78.28142149928154
120;98.63526161439306;-76.34043313679234
121;-40.8975605771158;-74.0631034988456
122;54.2913769928945;-72.30383981888387
123;-30.39489348118028;-71.19264723200381
124;-394.412380756212;-74.27131615292575
125;-324.19965265404903;-76.89384376352339
126;-139.45129162747068;-77.30162330310905
127;56.31105032511623;-74.95527463284063
128;46.51878763483944;-73.53216127728457
129;238.05010614784402;-70.94910336597276
130;190.84981275562467;-67.91251773396837
131;-50.150360701901356;-67.42993652952592
132;215.86153966414645;-64.67707066560557
133;-24.32400604007767;-63.50398076479517
134;225.53088941421998;-60.53696389050967
135;172.13938108606672;-58.58100650576543
136;22.174043637044072;-57.690178802495325
137;110.46714429295278;-55.97323963527224
138;157.37707897179948;-53.82750564510283
139;147.2712719731196;-51.91071468425843
140;167.35154787202364;-43.7481004089502
141;242.79463372024728;-40.82548621100426
142;221.92957964145415;-36.40209160935312
143;43.296824962954055;-35.452201613318344
144;25.229487524503703;-33.5422449601395
145;226.4336186777631;-29.07662937884637
146;218.73772802719463;-23.99920362480774
147;2.7247923323784153;-20.528185207944794
148;205.9430420761848;-16.141061621080436
149;206.83247713126332;-11.550302504372594
150;193.9283178391562;-8.759010480626612
151;54.0898973445046;-6.118682461412528
152;218.88493098650244;-2.291088016411685
153;169.08217911626113;0.698720740109222
154;-19.164192381440046;0.8733344858247722
155;248.68379475815266;3.6639111202849284
156;18.292774612390865;4.173835692252462
157;-2.252665048983494;4.858924453423006
158;-62.174155425933286;5.706091158350874
159;176.1517290623999;9.439582235347912
160;-47.091969069427684;11.440855091434065
161;138.03080198800149;13.074314939597159
162;226.33097168317906;15.935182756184078
163;129.37185143140437;17.67692827153453
164;204.9535136344112;20.08866619808834
165;227.3588870520415;22.92217556892183
166;248.02613714683483;26.259826631653493
167;265.6009535481445;29.391546587267236
168;251.4963095678722;32.54011642781094
169;-622.693000566801;27.835312351826225
170;162.8417944991618;30.079721060464284
171;207.94296922521272;32.825386179969136
172;271.7712922089004;36.58988508352825
173;208.21617484679797;39.72369345060057
174;217.66939196765196;42.60947194789611
175;273.57483806881527;45.87243642892082
176;229.40089224664223;48.6203680476198
177;239.80806562104672;51.21296496678725
178;259.8480543414488;54.2712882927261
179;224.16953427171129;57.25092698656126
180;77.7564246712279;59.28537939619727
181;36.47710272245285;60.63079223625476
182;206.05619885474556;63.21338315166126
183;252.4106926451685;66.02142728463859
184;120.7599872700676;67.78163022814674
185;208.29790399035178;70.5141994919373
186;203.015886645411;73.30863305030636
187;259.20935214249823;76.1292277077222
188;97.66337964416851;77.1494700992368
189;93.64685156683896;78.385837239416
190;130.16972128150226;80.18098904393531
191;219.77845930270206;82.95472202316489
192;241.95864130099523;86.15451056502327
193;299.2612133192932;89.69903734536652
194;147.52361702034244;91.68870138551111
195;215.68419637616515;96.24347242881518
196;206.33227550630312;98.32043121566164
197;206.63522476381388;100.7226091117438
198;227.74638324076088;103.05592445523813
199;235.6987547160614;106.15613831347537
200;241.45245068340319;112.09486509918176
201;263.47368628657955;114.78406957933983
202;57.256911467718616;113.41196566810436
203;278.3233903743233;114.44888863703406
204;224.77751365193484;116.38503847794051
205;58.9954950983516;116.938481961118
206;254.19491005523727;120.11659265984916
207;-53.87228768370075;119.90809008562361
208;232.27721167438847;122.50850895908077
209;275.68373655175014;125.74147149973535
210;172.29657063965539;128.0597066671526
211;231.8354659324255;128.83328078670723
212;-28.48508500806065;128.71230825525146
213;-214.30866594088354;126.70258557188541
214;-230.7311491427315;124.34747618452012
215;243.84395178257097;127.12895316857869
216;209.2309843171208;129.77349054056674
217;-23.404066026019237;129.33951033655714
218;-329.0326009818397;123.91084210465475
219;246.74497473136176;123.98566613299518
220;-3.4751168248815247;122.7547718201352
221;238.48942248473355;124.13946648221778
222;57.84062795295455;125.1170723092482
223;167.42294789259512;126.23718687261157
224;244.75681545721852;128.9614612185363
225;4.179807260687539;132.90791852563433
226;-24.895005481829546;135.87133087387414
227;216.51815883324906;139.3957808784357
228;184.47927987758737;140.66477325024232
229;269.8744621713895;142.87621557238637
230;176.2350750631892;142.26418556164722
231;-76.03844243834797;139.6217275894297
232;22.71282176476985;140.34314523761455
233;211.82289572427607;140.30315866395244
234;241.30040442398433;142.93310332201247
235;228.14690742709536;142.9590044904568
236;241.87163803847827;143.64942287612422
237;185.4355353939344;145.26587328955878
238;-45.98579315252774;143.71683430495005
239;-3.9074252240352214;142.1199580257834
