episode;steps;reward;average
0;130;-387.8513712819068;-387.8513712819068
1;78;-107.53724229064977;-247.69430678627828
2;119;-412.8643166883317;-302.7509767536294
3;183;-303.3975473607723;-302.9126194054151
4;92;-580.4661314103073;-358.4233218063936
5;108;-401.1055355732656;-365.53702410087226
6;91;-108.28934680112239;-328.7873559151937
7;119;-34.149548540711905;-291.9576299933835
8;212;-326.2331697209106;-295.76602329644203
9;128;-299.0188932872728;-296.09131029552515
10;116;-89.95287596778662;-277.3514526293671
11;119;-164.70218910722633;-267.964014002522
12;146;-134.5665717297447;-257.70267228923143
13;185;-17.923590808639602;-240.57559504061777
14;156;-162.96412188977945;-235.40149683056188
15;246;-58.15972330068955;-224.32388598494484
16;325;-282.70566873074074;-227.75810849940342
17;140;-117.03400843714783;-221.6067696070559
18;108;-300.1425719660383;-225.74023288910757
19;208;-222.36169662236296;-225.57130607577034
20;378;-94.58383364621851;-219.3338073886488
21;164;-3.0753920606434377;-209.503879419194
22;246;-84.30089122058263;-204.06027123664566
23;320;-92.25121432477486;-199.40156053198447
24;150;-171.87842914507826;-198.30063527650822
25;750;-116.66282746027326;-195.16071959126842
26;750;8.298375938200095;-187.62519753462144
27;750;63.156084264325656;-178.66872318465903
28;268;-53.215919453213544;-174.34276443529882
29;368;6.3289490921257965;-168.32037398438467
30;279;-19.3481168809612;-163.51481730362906
31;750;84.253964242137;-155.7720428803239
32;750;-23.328005853318526;-151.75858721283888
33;750;-22.12803065975672;-147.94592378480706
34;750;-43.6259664500525;-144.96535357524263
35;750;-32.08403011773334;-141.8297612569785
36;750;130.92873081416636;-134.4579101199205
37;750;-56.53477956158381;-132.40730142101688
38;750;-93.76803282200069;-131.41655094411902
39;750;-68.6079447171206;-129.84633578844412
40;750;-59.54846232545624;-128.13175350885905
41;750;-40.03861085938358;-126.03429773149058
42;750;-7.831113017098201;-123.28538645906285
43;750;-51.69985776317091;-121.6584426250653
44;750;-51.289277278571895;-120.09468339514322
45;750;-9.113540120780014;-117.68204984570056
46;750;-72.92378340022421;-116.72974630430744
47;750;-53.626058539439015;-115.41508614253935
48;750;-33.20010774968495;-113.73722944064437
49;750;-9.636067846823174;-111.65520620876796
50;750;-52.45528917170566;-110.49442352176673
51;750;-58.91745294562324;-109.50255870299475
52;750;-22.97383099335236;-107.86994119903923
53;750;-14.396101609181535;-106.13894416959744
54;750;-28.407518098864042;-104.72564551376591
55;750;-70.50254692180313;-104.11451875319513
56;750;-41.64244799019632;-103.018517511739
57;750;-28.621704145115846;-101.73581383300412
58;750;-39.50687607726679;-100.68108607443229
59;750;-72.12231425427987;-100.20510654409641
60;750;-3.0896196635880777;-98.61304938212085
61;750;-8.986492515191266;-97.1674597552349
62;750;-4.234013218201114;-95.69232568321848
63;750;-2.9515687482205863;-94.24325135610917
64;750;-60.95846800090563;-93.73117776602912
65;750;4.008613525080186;-92.25027183737595
66;750;-49.33757095926079;-91.60978376456826
67;750;-21.65950859447372;-90.58110324736099
68;750;-22.992709681277173;-89.60156131162064
69;750;25.455986984845175;-87.95788205024255
70;750;5.445232487905697;-86.64234522576159
71;750;0.1890093032317935;-85.43635419063668
72;750;-40.778824861338585;-84.82460721352301
73;750;11.004168458461715;-83.52962375849619
74;750;52.23250084274759;-81.71946209714626
75;750;19.595868659113872;-80.38636563982705
76;750;12.844887469340955;-79.17557014490279
77;750;89.46958255323914;-77.01345280261891
78;750;2.940490898624354;-76.00137756589432
79;750;19.587274384635403;-74.80651941651271
